Names,Category,Sub Category,Rank,Technology
cip-ethernet-ip-stop,business-systems,ics-protocols,1,client-server
cip-ethernet-ip-test-mode,business-systems,ics-protocols,1,client-server
cip-ethernet-ip-disable-io,business-systems,ics-protocols,1,client-server
cip-ethernet-ip-disable-sfc,business-systems,ics-protocols,1,client-server
cip-ethernet-ip-enable-io,business-systems,ics-protocols,1,client-server
cip-ethernet-ip-enable-sfc,business-systems,ics-protocols,1,client-server
circumventor,networking,proxy,5,browser-based
cisco-drp,networking,routing,1,network-protocol
cisco-nac,business-systems,auth-service,1,client-server
cisco-rtmt,business-systems,management,1,client-server
cisco-spark-base,collaboration,social-business,1,browser-based
cisco-spark-audio-video,collaboration,voip-video,2,peer-to-peer
cisco-spark-file-transfer,general-internet,file-sharing,2,browser-based
cisco-sxp,networking,infrastructure,1,network-protocol
cisco-viptela-ipsec-esp,networking,encrypted-tunnel,1,client-server
cisco-wlc-mobility,networking,infrastructure,1,network-protocol
cisco-wlc-rrm,networking,infrastructure,1,client-server
ciscovpn,networking,encrypted-tunnel,3,client-server
citect-scada,business-systems,ics-protocols,1,client-server
citrix,networking,remote-access,3,client-server
citrix-jedi,networking,remote-access,2,client-server
citrix-license-server,business-systems,management,1,client-server
citrix-provisioning,business-systems,management,1,client-server
citrix-xenmobile,business-systems,management,1,browser-based
clarizen,saas,management,3,browser-based
clash-of-clans,media,gaming,2,client-server
classdojo,media,photo-video,2,browser-based
classin,saas,social-networking,2,client-server
classmates,collaboration,social-networking,2,browser-based
clearslide,saas,general-business,3,browser-based
clearspace,saas,social-business,3,browser-based
clicktools,saas,general-business,1,browser-based
clickview,business-systems,general-business,1,client-server
clip2net,general-internet,file-sharing,4,client-server
close.io,saas,general-business,2,browser-based
cloud9,saas,management,3,browser-based
cloudapp-base,saas,file-sharing,1,client-server
cloudapp-uploading,saas,file-sharing,1,client-server
cloudcherry,saas,erp-crm,2,browser-based
cloudflare-warp,networking,encrypted-tunnel,2,client-server
cloudforge-base,saas,management,1,browser-based
cloudforge-uploading,saas,management,2,browser-based
cloudinary-uploading,saas,general-business,2,client-server
cloudinary-base,saas,photo-video,1,client-server
cloudmark-desktop,general-internet,internet-utility,1,client-server
cloudme,general-internet,file-sharing,2,browser-based
cloudon,saas,office-programs,2,client-server
cloudshare,saas,software-development,4,browser-based
cloudsigma,saas,infrastructure,1,browser-based
cloudup,general-internet,file-sharing,2,browser-based
clubbox,collaboration,social-networking,3,browser-based
clubcooee,collaboration,instant-messaging,1,client-server
clubhouse,saas,social-networking,1,client-server
cn-ip-base,business-systems,ics-protocols,1,client-server
cn-ip-data-packet,business-systems,ics-protocols,1,client-server
cn-ip-device-config-req,business-systems,ics-protocols,1,client-server
cn-ip-device-registration,business-systems,ics-protocols,1,client-server
cn-ip-device-configuration,business-systems,ics-protocols,1,client-server
cn-ip-channel-membership-req,business-systems,ics-protocols,1,client-server
cn-ip-channel-membership,business-systems,ics-protocols,1,client-server
cn-ip-send-list-req,business-systems,ics-protocols,1,client-server
cn-ip-send-list,business-systems,ics-protocols,1,client-server
cn-ip-channel-routing-req,business-systems,ics-protocols,1,client-server
cn-ip-channel-routing,business-systems,ics-protocols,1,client-server
cn-ip-acknowledge,business-systems,ics-protocols,1,client-server
cn-ip-segment,business-systems,ics-protocols,1,client-server
cn-ip-heartbeat-req,business-systems,ics-protocols,1,client-server
cn-ip-heartbeat-rsp,business-systems,ics-protocols,1,client-server
cnn-video,media,photo-video,2,browser-based
coap-base,business-systems,ics-protocols,1,client-server
coap-delete-request,business-systems,ics-protocols,1,client-server
coap-get-request,business-systems,ics-protocols,1,client-server
coap-post-request,business-systems,ics-protocols,1,client-server
coap-put-request,business-systems,ics-protocols,1,client-server
cobas-link,business-systems,medical,1,client-server
cohesity,business-systems,management,1,client-server
coinbase,business-systems,general-business,1,browser-based
coinhave,general-internet,internet-utility,5,browser-based
coinhive,business-systems,general-business,5,browser-based
coinimp,general-internet,internet-utility,5,browser-based
coinnebula,general-internet,internet-utility,5,browser-based
collectd,business-systems,management,2,client-server
comcast-webmail,saas,email,3,browser-based
commvault,business-systems,management,2,client-server
comodo-itsm,business-systems,management,1,client-server
compaq-peer,networking,ip-protocol,1,network-protocol
compass,business-systems,general-business,1,client-server
computrace,saas,general-business,3,client-server
compx-lockview,business-systems,ics-protocols,1,client-server
concur-editing,saas,general-business,1,browser-based
concur-downloading,saas,general-business,2,browser-based
concur-uploading,saas,general-business,2,browser-based
concur-base,saas,general-business,4,browser-based
condor,business-systems,management,1,client-server
confluence-posting,saas,social-business,1,browser-based
confluence-editing,saas,social-business,1,browser-based
confluence-sharing,saas,social-business,1,browser-based
confluence-uploading,saas,social-business,2,browser-based
confluence-downloading,saas,social-business,2,browser-based
confluence-base,saas,social-business,3,browser-based
confluent,general-internet,internet-utility,1,client-server
constant-contact,saas,general-business,1,browser-based
control-m,business-systems,management,1,client-server
convo-uploading,saas,file-sharing,2,browser-based
convo-chat,saas,instant-messaging,1,browser-based
convo-base,saas,social-business,1,browser-based
convoq,collaboration,internet-conferencing,3,browser-based
conx-meeting,collaboration,internet-conferencing,1,browser-based
cooltalk,collaboration,voip-video,2,browser-based
coralcdn-user,networking,proxy,5,browser-based
corba,business-systems,general-business,1,client-server
cortex-xdr,business-systems,management,2,browser-based
cotap,collaboration,social-business,3,client-server
cotp,networking,infrastructure,1,network-protocol
couchbase-server,business-systems,database,1,client-server
coverity,general-internet,internet-utility,2,browser-based
cox-webmail,saas,email,3,browser-based
cphb,networking,ip-protocol,1,network-protocol
cpnx,networking,ip-protocol,1,network-protocol
cpq-wbem,business-systems,management,3,client-server
crashplan,saas,storage-backup,3,client-server
crave,media,photo-video,1,browser-based
creo-model-manager,business-systems,software-development,1,client-server
crossloop,networking,remote-access,4,client-server
crowdsignal-base,general-internet,internet-utility,2,browser-based
crowdsignal-uploading,general-internet,internet-utility,2,browser-based
crowdstrike,business-systems,management,1,client-server
crtp,networking,ip-protocol,1,network-protocol
crucible,business-systems,software-development,2,browser-based
crudp,networking,ip-protocol,1,network-protocol
crypto-loot,general-internet,internet-utility,4,browser-based
cryptocat,collaboration,instant-messaging,1,client-server
cubby,saas,file-sharing,3,client-server
cubrid,business-systems,database,1,client-server
cups,business-systems,management,3,client-server
cvs,business-systems,general-business,3,client-server
cvsup,business-systems,storage-backup,3,client-server
cyber-ark-vault,business-systems,management,1,client-server
cyberghost-vpn,networking,encrypted-tunnel,3,client-server
cygnet-scada,business-systems,ics-protocols,1,network-protocol
cylance,business-systems,management,1,browser-based
cyph-audio-video,collaboration,voip-video,1,browser-based
cyph-base,collaboration,voip-video,2,browser-based
cyph-file-transfer,collaboration,voip-video,2,browser-based
cyworld,collaboration,social-networking,4,browser-based
d2d-data-transfer,general-internet,internet-utility,1,client-server
daap,media,audio-streaming,4,client-server
dabbledb,business-systems,database,2,browser-based
dahua-p2p,business-systems,ics-protocols,1,peer-to-peer
dailymotion,media,photo-video,4,browser-based
dameware-mini-remote,networking,remote-access,3,client-server
dapulse,saas,management,2,browser-based
data-bin,saas,file-sharing,2,browser-based
datadog,saas,management,1,browser-based
datagame-base,business-systems,general-business,2,browser-based
datagame-uploading,business-systems,general-business,2,browser-based
datto-backupify,saas,storage-backup,4,browser-based
daum-blog-posting,collaboration,web-posting,2,browser-based
daum-cafe-posting,collaboration,web-posting,2,browser-based
daum-mail,saas,email,4,browser-based
daum-cloud,saas,file-sharing,4,browser-based
daum-mypeople,collaboration,instant-messaging,3,client-server
daum-touch,collaboration,instant-messaging,4,client-server
daum-tvpot,media,photo-video,2,browser-based
daytime,business-systems,management,1,client-server
dazhihui,business-systems,general-business,1,client-server
db2,business-systems,database,1,client-server
dc-universe-online,media,gaming,1,client-server
dcc-antispam,general-internet,internet-utility,2,client-server
dccp,networking,ip-protocol,1,network-protocol
dcinside-base,collaboration,social-networking,3,browser-based
dcinside-posting,collaboration,web-posting,3,browser-based
dclink,business-systems,erp-crm,1,network-protocol
dcn-meas,networking,ip-protocol,1,network-protocol
ddp,networking,ip-protocol,1,network-protocol
ddx,networking,ip-protocol,1,network-protocol
dealio-toolbar,general-internet,internet-utility,2,client-server
deepminer,general-internet,internet-utility,5,browser-based
deezer,media,audio-streaming,3,browser-based
dell-drac,networking,remote-access,2,client-server
dell-update,business-systems,software-update,3,client-server
dell-wyse-device-manager,business-systems,management,1,client-server
demonsaw,general-internet,file-sharing,3,client-server
depositfiles,saas,file-sharing,3,browser-based
deskmetrics,general-internet,internet-utility,1,client-server
desknets,saas,remote-access,1,client-server
deskshare,saas,remote-access,3,browser-based
desktop-central,business-systems,management,1,client-server
desktoptwo,networking,remote-access,3,browser-based
dfs,networking,ip-protocol,1,network-protocol
dgp,networking,ip-protocol,1,network-protocol
dhcp,networking,infrastructure,2,network-protocol
dhcpv6,networking,infrastructure,2,network-protocol
dhl-easylog,business-systems,general-business,1,client-server
dialpad,saas,voip-video,4,client-server
diameter-base,business-systems,auth-service,1,client-server
diameter-over-sctp,business-systems,auth-service,1,client-server
dicom,business-systems,general-business,3,client-server
digg-posting,collaboration,web-posting,2,browser-based
diino,saas,file-sharing,4,client-server
dimdim,collaboration,internet-conferencing,3,browser-based
dingtalk-base,collaboration,instant-messaging,1,client-server
dingtalk-file-transfer,collaboration,instant-messaging,1,client-server
diodeo,media,photo-video,2,browser-based
direct-connect,general-internet,file-sharing,5,peer-to-peer
